SHZ_ADJ;Shimazu's;Shimazu's;Shimazu's;;;;;;;;;;;x;
SHZ;Shimazu;Shimazu;Shimazu;;;;;;;;;;;x;
win_hundred_war_desc;We have reconquered and driven the English from our lands, removed the English king's claim to our throne, and now we can forever end this war that has lasted for 116 years.;x;
medieval_art;Medieval Art;x;
gothic_art;Gothic Art;x;
manueline;Manueline;x;
trecento;Trecento;x;
renaissance;Renaissance;x;
quattrocento;Quattrocento;x;
high_renaissance;High Renaissance;x;
leonardo_da_vinci;Leonardo da Vinci;x;
raffaello_sanzio;Raffaello Sanzio;x;
michelangelo;Michelangelo;x;
bramante;Bramante;x;
YAM_ADJ;Yamana's;Yamana's;Yamana's;;;;;;;;;;;x;
YAM;Yamana;Yamana;Yamana;;;;;;;;;;;x;
mannerism;Mannerism;x;
classicism;Classicism;x;
early_baroque;Early Baroque;x;
DAT_ADJ;Date's;Date's;Date's;;;;;;;;;;;x;
DAT;Date;Date;Date;;;;;;;;;;;x;
middle_baroque;Middle Baroque;x;
late_baroque;Late Baroque;x;
early_rococo;Early Rococo;x;
rococo;Rococo;x;
early_romanticism;Early Romanticism;x;
feudal_monarchy;Feudal Monarchy;x;
become_absolutist_title;§YDecision§! - Become an Absolutist government;x;
become_absolutist_desc;"A nation needs a government centered on the king, with absolute power over everything in a country, because it is the monarch who has divine right." \n Absolutism is a political theory and form of government in which unlimited, complete power is held by a centralized sovereign individual, with no checks or balances from any other part of the nation or government.;x;
secure_electors_title;Secure Electors;x;
crown_of_Bohemia_title;Crown of Bohemia;x;
the_decline_of_hungary_title;;The Decline of Hungary;x;
habsburg_Hungary_title;Habsburg Hungary;x;
centralize_the_habsburg_realms_title;Centralize the Habsburg Realms;x;
balkan_ambitions_title;Balkan Ambitions;x;
secure_electors_desc;"Bohemia needs to be ours! We don't want a Hussite in power in a country so influential in the Holy Roman Empire. With the support of the voters, we will be able to defeat them and thus secure our power!";x;
crown_of_Bohemia_desc;Liberate Bohemia as a vassal and part of its sphere of influence.;x;
the_decline_of_hungary_desc;"This is a great time to attack the Hungarians, as lately they are weaker and less and less powerful.";x;
habsburg_Hungary_desc;"Hungary is now ours! With our consolidated power in the region, we can make them vassals of the mighty Habsburg Empire.";x;
centralize_the_habsburg_realms_desc;"We are now an absolutist monarchy, and we need to centralize not our kingdom but also our empire, which includes Hungary and Bohemia.";x;
balkan_ambitions_desc;We have no option but to attack the Balkans. We need those lands to consolidate our power!;x;
enact_reichsreform_title;Enact Reichsreform;x;
enact_reichsreform_desc;Click here to enact the first reform to HRE;x;
institute_reichsregiment_title;Institute Reichsreigment;x;
institute_reichsregiment_desc;Click here to enact the second reform to HRE;X;
reform_the_hofgericht_title;Reform the Hofgericht;x;
reform_the_hofgericht_desc;Click here to enact the third reform to HRE;X;
reform_imperial_circles_title;Reform Imperial Circles;X;
reform_imperial_circles_desc;Click here to enact the fourth reform to HRE;X;
renoveto_imperii_title;Renovato Imperii;x;
renoveto_imperii_desc;Click here to enact the fifth and the last reform to HRE;X;
EVTNAME98007;Burgundian Inheritance;x;
construction_tools;Construction Tools;x;
construction_tools_factory;Construction Tools Manufactory;x;
gunpowder;Gunpowder;x;
sword;Sword;x;
siege_engine;Siege Engine;x;
sword_factory;Sword Manufactory;x;
gunpowder_factory;Gunpowder Manufactory;x;
siege_engine_factory;Siege Engine Manufactory;x;
horses;Horses;x;
stable;Stable;x;
gunpowder_small_arms;Gunpowder Small Arms;x;
leave_hre_title;Leave the Holy Roman Empire;x;
leave_hre_desc;Click here to leave the Holy Roman Empire;x;
be_a_member_of_hre_title;Be a member of the Holy Roman Empire;x;
be_a_member_of_hre_desc;Click here to be a member of the Holy Roman Empire;x;
be_a_elector_title;Be a Elector of Holy Roman Empire;x;
be_a_elector_desc;Click here to be a elector of the Holy Roman Empire;x;
be_the_emperor_title;Be the Emperor of the Holy Roman Empire;x;
be_the_emperor_desc;Click here to be the emperor of the Holy Roman Empire;x;
HOS_ADJ;Hosokawa's;Hosokawa's;Hosokawa's;;;;;;;;;;;x;
HOS;Hosokawa;Hosokawa;Hosokawa;;;;;;;;;;;x;
UES;Uesugi;x;
UES_ADJ;Uesugi's;x;
OUC;Ouchi;x;
OUC_ADJ;Ouchi's;x;
EVTNAME51421;The Invasion of Constantinople;x;
EVTDESC551421;"The nobility and the Sultan himself have been planning for some time to lay siege to the city of Constantinople, the great capital of the Byzantine Empire, a religious and historical center. It would mean a new age for the mighty Ottoman Empire, and we will finally be the most feared in Eastern Europe!";x;
EVTOPTA51421;Let's go to war!;x;
EVTOPTB51421;No for now. We're unstable, and we need time to attack them.;x;
prevent_declaration_war_constantinople;Prevent Ottoman declaration of war event;x;
SMG;Samogitia;x;
SMG_ADJ;Samogitia's;x;
SHN_ADJ;Shoni's;x;
SHN;Shoni;Shoni;x;
ITO_ADJ;Ito's;x;
ITO;Ito;x;
OTM;Otomo;x;
OTM;Otomo's;x;
KNO;Kono;x;
KNO_ADJ;Kono's;x;
first_century;1400-1500;x;
second_century;1500-1600;x;
third_century;1600-1700;x;
fourth_century;1700-1756;x;
stability_negative_three;Stability = -3;x;
stability_negative_two;Stability = -2;x;
stability_negative_one;Stability = -1;x;
stability_normal;Stability = 0;x;
stability_positive_one;Stability = +1;x;
stability_positive_two;Stability = +2;x;
stability_positive_three;Stability = +3;x;
70044title;Country Stability;x;
70047desc;Our Stability is +3;x;
70046desc;Our Stability is +2;x;
70045desc;Our Stability is +1;x;
70044desc;Our Stability is 0;x;
70043desc;Our Stability is -3;x;
70042desc;Our Stability is -2;x;
70041desc;Our Stability is -3;x;
70045a;Ok.;x;
AMA;Amago;x;
AMA_ADJ;Amago's;x;
NAN;Nanbu;x;
NAN_ADJ;Nanbu's;x;
